"Date","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2014-12-31,"Temescal","CA","San Francisco","Alameda","Oakland",2319,697900,0.0066349343718448,0.0195763330898466,0.0111561866125761,0.0488985674614788,0.0177508351371312,"2013-09","2013-Q3",700500,-0.00371163454675232,"2013-09"
2014-12-31,"White Ash","OH","Columbus","Franklin","Columbus",2320,129200,0.00232738557020946,0.0125391849529781,0.0721991701244813,0.00534789864668328,-0.00728457212269473,"2006-05","2006-Q2",143400,-0.099023709902371,"2000-05"
2014-12-31,"Far West","OR","Eugene","Lane","Eugene",2321,169800,0.00532859680284192,0.0179856115107914,0.0341047503045067,0.00225307632918348,0.0189769471538359,"2007-05","2007-Q2",190500,-0.108661417322835,"2005-11"
2014-12-31,"North Rosedale Park","MI","Detroit","Wayne","Detroit",2322,70900,0.0085348506401138,0.0201438848920863,0.14170692431562,-0.00582079466906071,-0.0706369075004418,"2004-10","2004-Q4",148300,-0.521915037086986,
2014-12-31,"Maryvale","AL","Mobile","Mobile","Mobile",2323,43800,0.0162412993039443,0.020979020979021,-0.0266666666666667,-0.0448655659362988,-0.0129540826939453,"2007-03","2007-Q1",62500,-0.2992,"2003-08"
2014-12-31,"Presidio Heights","CA","San Francisco","San Francisco","San Francisco",2324,4978200,0.00271919753459424,0.0153168403662989,0.130612522995162,0.095283492448001,0.03894502022854,"2014-12","2014-Q4",4978200,0,"2014-12"
2014-12-31,"Roosevelt","OH","Toledo","Lucas","Toledo",2325,43400,-0.0355555555555556,-0.0824524312896406,-0.0180995475113122,0.00185358084365728,-0.0077258246412274,"2008-01","2008-Q1",51100,-0.150684931506849,"2004-01"
2014-12-31,"Kendall","CA","Riverside","San Bernardino","San Bernardino",2326,250600,0.0145748987854251,0.0511744966442953,0.226027397260274,0.0977557105473283,-0.0108550787828617,"2006-06","2006-Q2",365600,-0.314551422319475,"2004-08"
2014-12-31,"Rancho San Joaquin","CA","Los Angeles","Orange","Irvine",2327,560200,0.00628704867971978,0.0121047877145438,-0.02995670995671,0.0356918784313016,0.00180282457124181,"2007-03","2007-Q1",636100,-0.119320861499764,"2005-08"
2014-12-31,"Sam Hughes","AZ","Tucson","Pima","Tucson",2328,316700,0.00284990500316656,0.0209542230818827,0.0634654130288784,0.00948406442088268,0.0137770115354416,"2006-11","2006-Q4",370900,-0.146131032623349,"2005-05"
2014-12-31,"Downtown","OK","Tulsa","Tulsa","Tulsa",2329,64900,-0.00460122699386503,-0.00153846153846154,0.0350877192982456,0.0114789393002417,0.035470956087706,"2014-10","2014-Q4",65300,-0.00612557427258806,"2014-09"
2014-12-31,"Belcaro","CO","Denver","Denver","Denver",2330,784800,0.00589592412202,0.0236076692317725,0.132630971280127,0.0644099181062818,0.0359271687856448,"2014-12","2014-Q4",784800,0,"2014-12"
2014-12-31,"North City Farms","CA","Sacramento","Sacramento","Sacramento",2331,145400,-0.00683060109289617,-0.0377233620119126,-0.0313124583610926,0.0343635498362156,-0.0443654091914827,"2006-04","2006-Q2",270300,-0.462079171291158,"2003-06"
2014-12-31,"Hartwell","OH","Cincinnati","Hamilton","Cincinnati",2332,85500,0.00706713780918728,0.0414129110840439,0.14,0.010622707516045,-0.0153462089262957,"2006-03","2006-Q1",103300,-0.172313649564376,"2001-09"
2014-12-31,"Elizabeth","NC","Charlotte","Mecklenburg","Charlotte",2333,282400,0.00605628785179907,0.0205999277195519,0.0832374376678174,0.0103717242507708,0.0288949082185188,"2009-02","2009-Q1",284200,-0.00633356790992259,"2009-01"
2014-12-31,"Dexter Falls","OH","Columbus","Franklin","Columbus",2334,179400,0.00560538116591928,0.0164305949008499,0.0233884768967484,0.00846028216952077,0.00622820552018011,"2014-12","2014-Q4",179400,0,"2014-12"
2014-12-31,"City Center","FL","Miami-Fort Lauderdale","Miami-Dade","Miami Beach",2335,292400,0.0128160720471077,0.0288529204785362,0.0328505828329212,0.0632295058049579,0.0255953034726148,"2006-08","2006-Q3",337300,-0.133115920545508,"2005-08"
2014-12-31,"Eastside","AZ","Tucson","Pima","Tucson",2336,197600,-0.00101112234580384,-0.00503524672708963,0.00662251655629139,-0.0122868275081639,-0.00468469075359956,"2006-07","2006-Q3",284000,-0.304225352112676,"2004-10"
2014-12-31,"City Island","NY","New York","Bronx","New York",2337,427600,0.00991969768540387,0.0293692826191623,-0.0219579139981702,-0.0260394288594306,-0.00714764432288717,"2006-11","2006-Q4",645600,-0.337670384138786,"2004-09"
2014-12-31,"Belknap","KY","Louisville/Jefferson County","Jefferson","Louisville",2338,274100,0.00402930402930403,0.0212369597615499,0.0770137524557957,0.0396220814547867,0.0324332200212527,"2014-12","2014-Q4",274100,0,"2014-12"
2014-12-31,"Peachtree Heights West","GA","Atlanta","Fulton","Atlanta",2339,228500,0.0242043926490363,0.0583603520148217,0.0367513611615245,0.0185859888689879,,"2006-08","2006-Q3",304100,-0.248602433410062,
2014-12-31,"Tevis Ranch","CA","Bakersfield","Kern","Bakersfield",2340,228000,-0.00218818380743982,-0.00826446280991736,0.0256410256410256,0.0692916542369817,-0.0174547420893094,"2006-04","2006-Q2",363000,-0.371900826446281,"2004-07"
2014-12-31,"Sabin","OR","Portland","Multnomah","Portland",2341,446300,0.00676742612226483,0.0252699287847462,0.0795839380745041,0.0507750401208791,0.0494228793036253,"2014-12","2014-Q4",446300,0,"2014-12"
2014-12-31,"Sequoyah","OK","Tulsa","Tulsa","Tulsa",2342,50400,0.00398406374501992,0.008,0.00598802395209581,0.00565007721003496,0.00552116347163367,"2014-12","2014-Q4",50400,0,"2014-12"
2014-12-31,"Driving Park","OH","Columbus","Franklin","Columbus",2343,49400,0.00202839756592292,-0.0100200400801603,0.0578158458244111,-0.0332499202567106,-0.0334223521352814,"2006-07","2006-Q3",75700,-0.347424042272127,"1997-01"
